"x","y"
10,697411
10,557322
10,561722
10,489020
10,698312
10,602372
10,770175
10,691349
10,456983
10,386681
100,3414079
100,2773707
100,2811119
100,3320240
100,2842783
100,2679317
100,2689042
100,2649492
100,3560031
100,2821732
1000,32821710
1000,41606194
1000,28797320
1000,52240716
1000,54189068
1000,63781269
1000,26235278
1000,26276415
1000,25757712
1000,25480598
10000,378367297
10000,463602527
10000,317408229
10000,274142502
10000,276381868
10000,289523423
10000,266423344
10000,264826436
10000,280003592
10000,258180423
100000,2587753732
100000,2660419326
100000,2748985317
100000,2595204270
100000,2583638050
100000,2568677430
100000,2570950136
100000,2566057349
100000,2575437856
100000,2631166401
1000000,25579038463
1000000,26360776462
1000000,26491875640
1000000,25933594712
1000000,25849745309
1000000,25460684755
1000000,25456730744
1000000,25896694492
